id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,harapan_lama_sekolah,satuan,tahun
306,32,JAWA BARAT,3209,KABUPATEN CIREBON,12.27,TAHUN,2021
307,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12.23,TAHUN,2021
308,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.98,TAHUN,2021
309,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.26,TAHUN,2021
310,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.71,TAHUN,2021
311,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12.12,TAHUN,2021
312,32,JAWA BARAT,3215,KABUPATEN KARAWANG,12.1,TAHUN,2021
313,32,JAWA BARAT,3216,KABUPATEN BEKASI,13.1,TAHUN,2021
314,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.88,TAHUN,2021
315,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12.08,TAHUN,2021
316,32,JAWA BARAT,3271,KOTA BOGOR,13.42,TAHUN,2021
317,32,JAWA BARAT,3272,KOTA SUKABUMI,13.58,TAHUN,2021
318,32,JAWA BARAT,3273,KOTA BANDUNG,14.21,TAHUN,2021
319,32,JAWA BARAT,3274,KOTA CIREBON,13.13,TAHUN,2021
320,32,JAWA BARAT,3275,KOTA BEKASI,14.1,TAHUN,2021
321,32,JAWA BARAT,3276,KOTA DEPOK,13.93,TAHUN,2021
322,32,JAWA BARAT,3277,KOTA CIMAHI,13.81,TAHUN,2021
323,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.46,TAHUN,2021
